"EventId","Rank","Name","Alliance","Score","UserId"
"120021","88","플래티넘TH","DEFl","2171500","1906030159002009"
"120021","89","Sparta2966","DEFl","2146800","1350762850002009"
"120021","90","zekai66","DEFl","2110740","1909069627002009"
"120021","91","SawGuns Ghost","DEFl","2085000","1765321996002009"
"120021","92","Back2Back 도돌이","fLAG","1980000","1375312053002009"
"120021","93","Lord Hulkster","DEFl","1759380","1597493214002001"
"120021","94","Versace club","DEFl","1735000","1230726778002009"
"120021","95","ChKnMcStu 卡津","DEFl","1665000","1864788746002009"
"120021","96","Wookasian","DEFl","1515260","1672057584002009"
"120021","97","Prome42","DEFl","1305000","1955717408002009"
"120021","98","LittleRuss","H8tr","1287000","1006866977002009"
"120021","99","Strike Anywhere","H8tr","1182000","1262810720002009"
"120021","100","Advillain","DEFl","1134000","1881113463002009"
"120021","101","D Br33zy","Po1","1042000","1955332316002009"
"120021","102","Katiebug123","DFIW","1012000","1415642309002009"
"120021","103","OGStoltz77","DEFl","914000","1955815283002009"
"120021","104","카키kaki","DEFl","710000","1880001838002009"
"120021","105","Junior Vorani","DEFl","626000","1398218860002009"
"120021","106","deamavalos","H8tr","500000","1884635239002009"
"120021","107","tēēj","DEFl","251000","1955756618002009"
"120021","108","Santtos7","DEFl","247000","1782850244002009"
"120021","109","Sal51","DEFl","192000","1465387733002009"
"120021","110","Magician 쿠","DEFl","85600","1895981985002009"
"120021","111","ᎢᎧᎡᎠధnᎧ","H8tr","11500","1483211380002009"
"120023","1","JSSJ2026","DEFl","3302846","1833496775002009"
"120023","2","TowPigy","DEFl","2963788","1956008371002009"
"120023","3","Taxan Killer 에릭","DEFl","1786110","1771461583002009"
"120023","4","원oneღ","DEFl","1677882","1759318546002009"
"120023","5","발록 balrog","DEFl","1677148","1006520614002009"
"120023","6","ThunderGrunt Palblo","DEFl","1644650","1710268967002009"
"120023","7","ESPN LIES 69","DEFl","960188","1956097545002009"
"120023","8","Kor Devil","DEFl","859732","1042263425002009"
"120023","9","MetalFace Stone","DEFl","794958","1243117540002009"
"120023","10","DrDeadCatS","DEFl","755532","1862845445002009"
"120023","11","Kîra 키라","DEFl","716358","1284124114002009"
"120023","12","LĘE Şeúng Ĥun","DEFl","715604","1018658388002009"
"120023","13","플래티넘TH","DEFl","686756","1906030159002009"
"120023","14","p0ppa","DEFl","671340","1243686140002009"
"120023","15","보조개 Witch","DEFl","605320","1039210403002009"
"120023","16","ADMIN V","DEFl","598556","1513152871002009"
"120023","17","Kredio","DEFl","592404","1428508013002009"
"120023","18","BoffaDeezzz 両玉","DEFl","530558","1955344177002009"
"120023","19","EMPYRE","DEFl","525116","1924277001002009"
"120023","20","중융JUNGღ","DEFl","520358","1687239939002009"
"120023","21","OG COTN MFKER","DEFl","510422","1670546139002009"
"120023","22","NicocoLetsGoPSG","DEFl","469506","1207146206002009"
"120023","23","Capt ジョシュ","DEFl","462916","1955984446002009"
"120023","24","StunnerOtis","DEFl","457254","1954642487002009"
"120023","25","뚤ddulღ","DEFl","455668","1238891291002009"
"120023","26","KANG편돌","DEFl","451914","1066495923002009"
"120023","27","WheresDaBeef 암소","DEFl","425596","1418400186002009"
"120023","28","Major Boom Shakalaka","DEFl","425506","1724153165002009"
"120023","29","IJONASI 이죠나시","DEFl","406370","1249945547002009"
"120023","30","IArma XI","DEFl","384734","1493440312002009"
"120023","31","Blood Angel AB","DEFl","374264","1908664231002009"
"120023","32","Abz ツ","DEFl","367274","1798612518002009"
"120023","33","GhostTaxi  령","DEFl","333764","1156831515002009"
"120023","34","Asmodean76","DEFl","326316","1339444241002009"
"120023","35","Stinkyf33t","DEFl","304844","1335516399002009"
"120023","36","Ravėn","DEFl","301246","1086099410002001"
"120023","37","Brbsmoke","DEFl","259124","1955909125002009"
"120023","38","Beat It","DEFl","251468","1155608505002009"
"120023","39","Advillain","DEFl","249900","1881113463002009"
"120023","40","IveGotBeef 햄버거","DEFl","230848","1882477040002009"
"120023","41","단비 FreeM","DEFl","229106","1291183795002009"
"120023","42","BoffaDozzeee です","DEFl","210438","1412019391002009"
"120023","43","SawGuns Ghost","DEFl","187092","1765321996002009"
"120023","44","Xxpacifist","DEFl","184704","1220371996002009"
"120023","45","ElusiveSavvy","DEFl","180536","1621795100002009"
"120023","46","Kung Fu Yoda","DEFl","168472","1912186114002009"
"120023","47","亗 Ganssup","KTHR","156576","1105966165002009"
"120023","48","FLuFFy 멍멍","DEFl","139080","1171733078002009"
"120023","49","Odogg20100","DEFl","128930","1915304141002009"
"120023","50","VenomVisíon","DEFl","122030","1396639825002009"
"120023","51","Wookasian","DEFl","112696","1672057584002009"
"120023","52","tēēj","DEFl","101890","1955756618002009"
"120023","53","Commander 39c132009","","99390","1810943858002009"
"120023","54","Guapo III","DEFl","89470","1955858114002009"
"120023","55","Dragonfly5280","DEFl","88976","1868610843002009"
"120023","56","Gtoboi","DEFl","83094","1662911906002009"
"120023","57","Pennah","DEFl","81150","1550635285002009"
"120023","58","Äāmøň","DEFl","78886","1783142248002009"
"120023","59","zekai66","DEFl","74240","1909069627002009"
"120023","60","Binxxxyy","DEFl","66000","1956065017002009"
"120023","61","Poochucker","DEFl","62670","1501336988002009"
"120023","62","Random word","DEFl","61246","1683911371002009"
"120023","63","Tech100","DEFl","60790","1651408835002009"
"120023","64","Jenära","DEFl","56620","1955800939002009"
"120023","65","5H13LDUR53LF","DEFl","52652","1217994156002009"
"120023","66","Masterball1","DEFl","52350","1282191033001997"
"120023","67","Stephy0255","DEFl","52000","1169494008002001"
"120023","68","Lord Hulkster","DEFl","50000","1597493214002001"
"120023","69","Junior Vorani","DEFl","42830","1398218860002009"
"120023","70","볼보 8115 volvo","DEFl","38652","1032401035002009"
"120023","71","Sal51","DEFl","37510","1465387733002009"
"120023","72","SilentCircus","DEFl","30000","1956372992002009"
"120023","73","Sparta2966","DEFl","30000","1350762850002009"
"120023","74","YïppeeKïYAY MF","DEFl","27240","2167178556002009"
"120023","75","호세카 hosecar","DEFl","22000","1252757549002009"
"120023","76","Versace club","DEFl","20000","1230726778002009"
"120023","77","Fugarewe","DEFl","19200","1047789677002009"
"120023","78","Santtos7","DEFl","17520","1782850244002009"
"120023","79","Nuke Doctor","DEFl","16500","1955890708002009"
"120023","80","카두바 caduba","DEFl","16350","1181086471002009"
"120023","81","pretty 이쁜엿옹","DEFl","10580","1879664984002009"
"120023","82","OGStoltz77","DEFl","10000","1955815283002009"
"120023","83","AccuracY","DEFl","9030","1418302934002009"
"120023","84","ĤappyĞĄMĘ 좋아","KTHR","4782","1126282745002009"
"120023","85","Glockmeep","DEFl","4200","1648780819002009"
"120023","86","kdashh22","DEFl","3990","1113719835002009"
"120024","1","JSSJ2026","DEFl","159091026","1833496775002009"
"120024","2","Taxan Killer 에릭","DEFl","96395121","1771461583002009"
"120024","3","TowPigy","DEFl","92407116","1956008371002009"
"120024","4","발록 balrog","DEFl","75598470","1006520614002009"
"120024","5","Capt ジョシュ","DEFl","71936472","1955984446002009"
"120024","6","원oneღ","DEFl","67356435","1759318546002009"
"120024","7","ThunderGrunt Palblo","DEFl","60582867","1710268967002009"
"120024","8","Kor Devil","DEFl","41398851","1042263425002009"
"120024","9","플래티넘TH","DEFl","38092377","1906030159002009"
"120024","10","p0ppa","DEFl","31088427","1243686140002009"
"120024","11","중융JUNGღ","DEFl","29658117","1687239939002009"
"120024","12","뚤ddulღ","DEFl","28935540","1238891291002009"
"120024","13","BoffaDeezzz 両玉","DEFl","27898086","1955344177002009"
"120024","14","LĘE Şeúng Ĥun","DEFl","23716152","1018658388002009"
"120024","15","IJONASI 이죠나시","DEFl","23215548","1249945547002009"
"120024","16","EMPYRE","DEFl","21578145","1924277001002009"
"120024","17","DrDeadCatS","DEFl","21128280","1862845445002009"
"120024","18","Kîra 키라","DEFl","18651471","1284124114002009"
"120024","19","Kredio","DEFl","18473835","1428508013002009"
